rank,french,pos,gender,english,sentence_fr,sentence_en,ipa
3544,réussi,adj,,successful,sa vie est beaucoup plus réussie que la nôtre,his life is much more successful than ours,ʀeysi
3545,bilatéral,adj,,bilateral,les relations bilatérales ont enregistré récemment des changements positifs,bilateral relations recently involved positive changes,"bilateʀal, o"
3546,rétablissement,nm,masculine,"restoring, re-establishment, recovery",nous leur souhaitons un prompt rétablissement,we wish them a swift recovery,ʀetablismɑ͂
3547,cynique,nadj(f),,"cynical, cynic",leur cinéma est terriblement cynique,their cinema is terribly cynical,sinik
3548,environnemental,adj,,environmental,les questions environnementales transcendent les frontières,environmental issues transcend borders,"ɑ͂viʀɔnmɑ͂tal, o"
3549,constructeur,nadj,masculine,"builder, manufacturer",VW est devenu le premier constructeur européen,VW has become the largest European manufacturer,kɔ͂stʀyktœʀ
3550,colonel,nm,masculine,colonel,le colonel voudrait vous voir immédiatement,the colonel wishes to see you immediately,kɔlɔnɛl
3551,nœud,nm,masculine,knot,"fais un double nœud, mais doucement","make a double knot, but do it carefully",nø
3552,peindre,v,,"to paint, depict, portray",le mur était peint d’une couleur ocre,the wall was painted ochre,pɛ͂dʀ
3553,bâton,nm,masculine,"tick, club, baton",elles sont armées de bâtons,they’re armed with clubs,bɑtɔ͂
3554,démocrate,nadj(f),masc / fem,"democrat, democratic",pour certains responsables démocrates la réponse est claire,for certain democratic leaders the answer is clear,demɔkʀat
3555,précédemment,adv,,previously,j’ai développé tout ceci précédemment,I had already developed this,pʀesedamɑ͂
3556,idiot,nadj,masculine,"idiot, fool, stupid","bouge-toi, espèce d’idiot","move, you idiot","idjo, idjɔt"
3557,querelle,nf,feminine,quarrel,les querelles politiciennes n’intéressent pas le peuple,political squabbles don’t interest the populace,kəʀɛl
3558,explosif,nadj,masculine,explosive,il y a assez d’explosif pour raser tout un quartier,there are enough explosives to level a whole neighborhood,ɛksplozif
3559,flic,"nm,nf",masculine,cop,"si tu vois des flics, appelle-moi",call me if you see any cops,"flik, flikɛt"
3560,solitaire,nadj(f),,"solitary, lone, lonely",vous avez une vie plutôt solitaire,you lead a rather solitary existence,sɔlitɛʀ
3561,déceler,v,,"to discover, detect",l’erreur administrative a été décelée puis corrigée,the administrative error was found and corrected,des(ə)le
3562,herbe,nf,feminine,"grass, herb",l’herbe est plus verte ailleurs,the grass is greener elsewhere,ɛʀb
3563,élevé,adj,,"high, heavy, tall",c’est un pourcentage assez élevé,that’s quite a high percentage,el(ə)ve
3564,acharner,v,,to go at fiercely and unrelentingly,c’est une lutte acharnée pour la vie,it’s a fierce fight to the death,aʃaʀne
3565,bombardement,nm,masculine,"bombing, shelling",jamais le nombre des victimes des bombardements n’a été publié,the number of bombing victims was never published,bɔ͂baʀdəmɑ͂
3566,bagage,nm,masculine,"luggage, baggage",je voyageais sans bagages,I travelled withoutluggage,bagaʒ
3567,singulier,nadj,masculine,"unique, singular",il n’arrive pas de choses singulières,unusual things don’t happen,sɛ͂gylje
3568,capitalisme,nm,masculine,capitalism,tout le capitalisme est fondé sur la notion de rareté,capitalism is completely founded on the notion of scarcity,kapitalism
3569,suspension,nf,feminine,"hanging, suspending, breaking off, postponement, suspension",Pyongyang confirme publiquement la suspension des tirs de missiles,Pyongyang publicly confirms a suspension of missile launches,syspɑ͂sjɔ͂
3570,mince,"adj(f),intj",,"thin, slim, slender",elle est mince et jolie et elle ment,she is thin and beautiful and she lies,mɛ͂s
3571,assimiler,v,,"to assimilate, take in",les gens ne peuvent pas tout assimiler,people can’t take it all in,asimile
3572,plume,"nm,nf",feminine,feather,cet oiseau a beaucoup plus de plumes blanches,this bird has many white feathers,plym
3573,publicitaire,nadj(f),masc / fem,"advertising, promotional",nous n’avons pratiquement pas de budget publicitaire,we have almost no advertising budget,pyblisitɛʀ
3574,incarner,v,,"to embody, incarnate","en cela, il incarne la quintessence de l’esprit poétique",herein he embodies the essence of the poetic spirit,ɛ͂kaʀne
3575,opter,v,,"to opt, decide",j’ai donc opté pour une coiffure simple,so I chose a simple haircut,ɔpte
3576,habiller,v,,"to dress, get dressed",il s’habille comme un vampire,he’s dressed like a vampire,abije
3577,trajet,nm,masculine,"journey, route","durant le trajet, nous avons été peu bavards","during the trip, we did very little talking",tʀaʒɛ
3578,sinistre,nadj(f),masculine,"disaster, sinister",leurs rires résonnaient de façon sinistre,their laughter echoed ominously,sinistʀ
3579,pis,"adv,nm(pl)",masculine,worse,les choses vont de mal en pis,things are going from bad to worse,pi
3580,reconstruire,v,,"to rebuild, reconstruct",on a donc reconstruit la planète,so we rebuilt the planet,ʀ(ə)kɔ͂stʀɥiʀ
3581,tueur,nm,masculine,"killer, hit man","oh vous savez, un tueur est rarement drôle","oh, you know, a killer is rarely funny","tɥœʀ, -øz"
3582,tournoi,nm,masculine,tournament,j’ai gagné ce tournoi,I won the tournament,tuʀnwa
3583,cimetière,nm,masculine,"cemetery, graveyard","dans un cimetière, la mort est supportable","in a cemetery, death is bearable",simtjɛʀ
3584,douane,nf,feminine,"customs, duty",nos agents de douane ne sont pas équipés,our customs agents are not equipped,dwan
3585,domestique,nadj(f),masc / fem,"servant, domestic",c’est au foyer domestique qu’elles avaient pris leurs leçons,home is where they learned their lessons,dɔmɛstik
3586,soucieux,adj(pl),,"concerned, worried",j’en suis soucieux mais non surpris,I’m worried about it but not surprised,"susjø, -jøz"
3587,premièrement,adv,,first,"pour nous, jouer, performer est premièrement une passion!","for us playing, performing is first of all a passion",pʀəmjɛʀmɑ͂
3588,complicité,nf,feminine,complicity,il y a une complicité d’instinct entre elle et moi,there’s an instinctive collusion between her and me,kɔ͂plisite
3589,décréter,v,,"to declare, decree",le gouvernement a décrété un deuil de sept jours,the government declared a week-long period of mourning,dekʀete
3590,flamme,nf,feminine,"flame, fire, fervor, brilliance",ils ont dû voir les flammes,they must have seen the flames,flam
3591,approprié,adj,,appropriate,il faudra prendre des mesures appropriées,appropriate measures must be taken,apʀɔpʀije
3592,dix-huit,"det,nmi",,eighteen,j’ai une fille de dix-huit ans,I have an eighteen-year-old daughter,dizɥit
3593,nouveauté,nf,feminine,"novelty, new release",l’émission a perdu son parfum de nouveauté,the broadcast lost its new feel,nuvote
3594,brusquement,adv,,"abruptly, suddenly","je me retournai brusquement, surpris de son silence","I turned around suddenly, surprised by her silence",bʀyskəmɑ͂
3595,coïncider,v,,"to coincide, correspond","avec Caïn, la première révolte coïncide avec le premier crime","with Cain, the first rebellion coincided with the first crime",kɔɛ͂side
3596,déterminé,nadj,,"determined, resolute, specific",nous avons passé un contrat à durée déterminée avec –,we concluded a fixed-period contract with,detɛʀmine
3597,ménager,"nadj,v",,"to handle, arrange; domestic",cela permettait aussi de ménager la surprise,it also enabled arranging the surprise,menaʒe
3598,millénaire,nadj(f),masculine,"millennium, thousand-year- old",le tournant du millénaire approche à grands pas,the millennial changeover is nearing quickly,milenɛʀ
3599,alerte,"adj(f),nf",feminine,"agile, alert, warning",l’armée de terre est en alerte,the ground forces are on alert,alɛʀt
3600,renforcement,nm,masculine,"reinforcement, strengthening",on peut se féliciter du renforcement des mesures pour la formation,we can be proud of strengthening the measures for training,ʀɑ͂fɔʀsəmɑ͂
3601,ange,nm,masculine,angel,est-ce qu’on peut faire un ange d’un démon?,can you turn a devil into an angel?,ɑ͂ʒ
3602,guérir,v,,"to cure, heal, get better",le rire guérit tout,laughter heals everything,geʀiʀ
3603,immobilier,nadj,masculine,"property, real estate, property business, real estate business",une autre société immobilière a été créée,another real estate company was formed,imɔbilje
3604,certificat,nm,masculine,certificate,elle avait raté de justesse son certificat d’études supérieures,she barely failed her higher-education certificate,sɛʀtifika
3605,contaminer,v,,"to contaminate, infect",j’ai l’impression d’être contaminé. c’est répugnant,I feel like I’m contaminated. it’s disgusting,kɔ͂tamine
3606,pénurie,nf,feminine,shortage,il n’y a pas de pénurie d’uranium au niveau mondial,there’s no world shortage of uranium,penyʀi
3607,tirage,nm,masculine,"drawing, circulation, run",vous finirez par présenter le tirage du loto,you will end by presenting the lottery drawing,tiʀaʒ
3608,perception,nf,feminine,"perception, collection",ça ne correspond pas à ma perception de la ville,that doesn’t fit my impression of the city,pɛʀsɛpsjɔ͂
3609,philosophe,nadj(f),masc / fem,philosopher,il est plus homme que philosophe,he is more a man than a philosopher,filɔzɔf
3610,planche,nf,feminine,"plank, board",il a cloué la planche sur la porte,he nailed the plank onto the door,plɑ͂ʃ
3611,crédibilité,nf,feminine,credibility,la crédibilité de tous les états financiers est compromisé,the credibility of our financial state is compromised,kʀedibilite
3612,fiction,nf,feminine,fiction,ce livre est bien une fiction,this book is truly a piece of fiction,fiksjɔ͂
3613,handicapé,nadj,masculine,"disabled, handicapped",il y a aussi les handicapés physiques,there are also the physically handicapped,ˊɑ͂dikape
3614,boisson,nf,feminine,"drink, beverage",le thé représente la deuxième boisson consommée dans le monde,tea is the second-most consumed drink in the world,bwasɔ͂
3615,élaboration,nf,feminine,"working-out, development",vous allez demander l’élaboration d’un dossier,you’re going to ask that a file be put together,elabɔʀasjɔ͂
3616,habitation,nf,feminine,"residence, home, dwelling, housing",environ 200 habitations ont été détruites,about 200 dwellings were destroyed,abitasjɔ͂
3617,représentatif,adj,,representative,"le Danemark a des syndicats puissants, très représentatifs","Denmark has powerful unions, very representative","ʀ(ə)pʀezɑ͂tatif, -iv"
3618,débrouiller,v,,"to untangle, sort out, manage, get by",tu te débrouilles très bien,you’re managing very well,debʀuje
3619,imposition,nf,feminine,taxation,il veut un taux d’imposition uniforme,he wants a uniform tax rate,ɛ͂pozisjɔ͂
3620,générer,v,,to generate,les aérosols génèrent des pluies acides,aerosols produce acid rain,ʒeneʀe
3621,ajustement,nm,masculine,adjustment,l’ajustement reste aussi insuffisant,the adjustment is still inadequate,aʒystəmɑ͂
3622,princesse,nf,feminine,princess,une princesse ne peut pas embrasser un crapaud?,a princess can’t kiss a toad?,"pʀɛ͂s, pʀɛ͂sɛs"
3623,virer,v,,"to turn, change, transfer, kick out",il vire encore une fois à droite,he turns right one more time,viʀe
3624,facilité,nf,feminine,"easiness, ease, aptitude",il lit avec facilité,he reads easily,fasilite
3625,postal,adj,,"postal, mail",ils lui écrivaient une carte postale,they wrote her a postcard,"pɔstal, o"
3626,perturber,v,,"to disrupt, disturb",je suis perturbée par une enquête que je mène,I’m disturbed by an investigation that I’m leading,pɛʀtyʀbe
3627,répercussion,nf,feminine,repercussion,le transport a des répercussions sur tous les aspects de notre vie,transportation impacts on all aspects of life,ʀepɛʀkysjɔ͂
3628,oncle,nm,masculine,uncle,je vis avec mon oncle et ma tante,I live with my uncle and my aunt,ɔ͂kl
3629,viol,nm,masculine,rape,je vais crier au viol,I’m going to cry rape,vjɔl
3630,culte,nm,masculine,"worship, cult",le culte des anciens dieux a été réinstauré,the worship of ancient gods was reinstated,kylt
3631,gosse,"nm,nf",masc / fem,kid,"nous, on était gosses, on savait pas","we were just kids, we didn’t know",gɔs
3632,équipage,nm,masculine,"crew, gear",les membres d’équipage ont retiré la femme de l’eau,the crew members pulled the woman from the water,ekipaʒ
3633,carburant,nadj,masculine,fuel,les prix élevés des carburants ont frappé tous les secteurs de l’économie,high gas prices have affected all sectors of the economy,kaʀbyʀɑ͂
3634,canon,nm,masculine,"gun, cannon",ils nous ont attaqués au canon à eau et au gaz lacrymogène,they attacked us with water cannons and tear gas,kanɔ͂
3635,prometteur,nadj,,promising,l’avenir n’est pas prometteur,the future is not promising,"pʀɔmɛtœʀ, -øz"
3636,apprentissage,nm,masculine,"learning, apprenticeship",chaque poste possède un plan d’apprentissage,each job has a training plan,apʀɑ͂tisaʒ
3637,soi-disant,adji,,"so-called, supposedly",il m’a donné un bijou soi-disant précieux,he gave me a supposedly precious jewel,swadizɑ͂
3638,chaussure,nf,feminine,"shoe, sneaker",il faut enlever vos chaussures,you must remove your shoes,ʃosyʀ
3639,salarial,adj,,salary,le problème de l’équité salariale existe,there’s a problem with equitable salaries,"salaʀjal, jo"
3640,abolir,v,,"to abolish, do away with",l’esclavage n’a jamais vraiment été aboli,slavery never really was abolished,abɔliʀ
3641,pâte,nf,feminine,"paste, dough, pasta",ils mangent du riz et des pâtes tous les jours,they eat rice and noodles every day,pɑt
3642,cohésion,nf,feminine,cohesion,"tant que cette situation durera, la cohésion ne sera jamais atteinte","as long as this situation lasts, unity will never be achieved",koezjɔ͂
3643,ruine,nf,feminine,"ruin, ruins",la maison était en ruine,the house was in ruins,ʀɥin
3644,percer,v,,"to pierce, drill, break into",le couteau avait percé la chair avec précision,the knife pierced the flesh with exactness,pɛʀse
3645,rassemblement,nm,masculine,"gathering, collecting, assembling",rassemblement au gymnase pour une annonce spêciale,there’s an assembly in the gymnasium for a special annoucement,ʀasɑ͂bləmɑ͂
3646,malentendu,nm,masculine,misunderstanding,ce n’est qu’un malentendu ridicule,it’s nothing but a ridiculous misunderstanding,malɑ͂tɑ͂dy
3647,soigneusement,adv,,"tidily, neatly, carefully",j’ai soigneusement examiné le document,I examined the document carefully,swaɲøzmɑ͂
3648,pot,nm,masculine,"jar, pot",j’ai arrêté de vendre du pot puis de la coke,"I stopped selling pot, then coke",po
3649,règne,nm,masculine,reign,"en France, c’est le règne du politiquement correct","in France, it’s the reign of political correctness",ʀɛɲ
3650,impulsion,nf,feminine,"impulse, pulse",il y avait une impulsion qui nous poussait,there was an impulse that pushed us,ɛ͂pylsjɔ͂
3651,physiquement,adv,,physically,il était physiquement plus fort que moi,he was physically stronger than me,fizikmɑ͂
3652,minimal,adj,,"minimal, minimum",une peine minimale de quatre ans est juste et équitable,a minimum sentence of four years is just and equitable,"minimal, o"
3653,fossé,nm,masculine,ditch,la forêt se terminait par un fossé,the forest ended at a ditch,fose
3654,dépens,nmpl,masculine-plural,expense,la Russie a affirmé ses ambitions aux dépens de l’Italie,Russia affirmed its ambitions at Italy’s expense,depɑ͂
3655,implanter,v,,"to implant, set up, establish",il est nécessaire d’implanter un nouveau système,it’s necessary to set up a new system,ɛ͂plɑ͂te
3656,descendant,nadj,masculine,"downward, descending, descendant",les descendants parleront de leurs ancêtres disparus,the descendants will speak of their ancestors who have disappeared,"desɑ͂dɑ͂, ɑ͂t"
3657,politiquement,adv,,"politically, diplomatically",il est politiquement correct d’être anti-américain,it’s politically correct to be anti-American,pɔlitikmɑ͂
3658,crever,v,,"to burst, puncture",quel pneu est crevé? c’est pas de ton côté,which tire is flat. it’s not on your side,kʀəve
3659,interruption,nf,feminine,"interruption, break","elle parlait sans interruption, d’un air raisonnable","she spoke uninterrupted, quite reasonably",ɛ͂teʀypsjɔ͂
3660,polonais,nadj(pl),masculine,Polish,vous dites avoir des racines polonaises,you say you have Polish roots,pɔlɔnɛ
3661,patrie,nf,feminine,"homeland, home country",ils ont parlé de protection de la patrie,they talked about protecting the homeland,patʀi
3662,prélèvement,nm,masculine,"imposition, levying, withdrawal, removal, deduction","un prélèvement est, en réalité, une taxe","a deduction is, in fact, a tax",pʀelɛvmɑ͂
3663,ex,nmfi,masc / fem,ex,mon ex serait ravie que je vous parle,my ex will be thrilled that I’m speaking to you,ɛks
3664,studio,nm,masculine,"studio, studio apartment",mon bureau était en face du studio,my office is across from the studio,stydjo
3665,intégrité,nf,feminine,integrity,lui au moins a gardé son intégrité,at least he kept his integrity,ɛ͂tegʀite
3666,prescrire,v,,"to order, command, prescribe, stipulate",ils prescrivent ces médicaments,they prescribe these medicines,pʀɛskʀiʀ
3667,exhorter,v,,"to exhort, urge",je l’exhorte à retirer sa motion,I exhort her to repeal her motion,ɛgzɔʀte
3668,tribu,nf,feminine,tribe,"nous sommes une tribu, une communauté","we’re a tribe, a community",tʀiby
3669,globe,nm,masculine,globe,ils viennent de toutes les régions du globe,they come from all parts of the globe,glɔb
3670,apaiser,v,,"to calm, appease, calm down","officiellement, les tensions s’apaisent","officially, tensions are cooling",apeze
3671,sélectionner,v,,to select,il faut avant tout sélectionner les rôles qui nous plaisent,above all we have to select the roles that we enjoy,selɛksjɔne
3672,familier,nadj,,"familiar, informal","apparemment, cette voix t’est familière",apparently this voice is familiar to you,familje
3673,quinzaine,nf,feminine,"about fifteen, two weeks","dans moins d’une quinzaine, vous serez un homme libre","in less than two weeks, you’ll be a free man",kɛ͂zɛn
3674,paralyser,v,,to paralyze,la mine est paralysée par la grève,the mine is paralyzed by the strike,paʀalize
3675,impatience,nf,feminine,impatience,nous vous attendons avec impatience,we’re waiting impatiently for you,ɛ͂pasjɑ͂s
3676,logiciel,nm,masculine,"software, program, application",il vous faudra peut-être réinstaller votre logiciel,you might have to reinstall your software,lɔʒisjɛl
3677,visiblement,adv,,"obviously, clearly, visibly","il se tait, se domine visiblement","he shuts up, visibly controlling himself",vizibləmɑ͂
3678,suicider,v,,to commit suicide,quatre suspects se sont suicidés samedi,four suspects committed suicide Saturday,sɥiside
3679,préjugé,nm,masculine,"prejudice, bias",il est moins facile de désintégrer un préjugé qu’un atome,it’s harder to smash a prejudice than an atom,pʀeʒyʒe
3680,impératif,nadj,masculine,"need, necessity, urgent, imperative","c’est impératif, c’est nécessaire","it’s imperative, it’s necessary",ɛ͂peʀatif
3681,renvoi,nm,masculine,"dismissal, expulsion, suspension, cross-reference",il allait demander ton renvoi de la police,he was going to seek your suspension from the police force,ʀɑ͂vwa
3682,charme,nm,masculine,charm,la liberté est une espèce de charme,liberty is a kind of charm,ʃaʀm
3683,atout,nm,masculine,"trump, asset",l’Oscar est un atout commercial de calibre mondial,the Oscar is a worldwide commercial asset,atu
3684,portugais,nadj(pl),masculine,Portuguese,admettons que je sois portugais,let’s assume I’m Portuguese,pɔʀtygɛ
3685,nord-ouest,nmi,masculine,north-west,un tremblement de terre secoue le nord- ouest de la Turquie,an earthquake shakes northwestern Turkey,nɔʀwɛst
3686,affaiblissement,nm,masculine,weakening,l’euro a profité de l’affaiblissement du dollar,the euro has profited from the weakened dollar,afeblismɑ͂
3687,balayer,v,,"to sweep up, sweep out","une fois qu’on aura balayé, ce sera à nouveau impeccable","once we’ve swept it, it will be impeccable again",baleje
3688,peupler,v,,"to populate, inhabit",l’enfer est peuplé d’anges,hell is populated by angels,pœple
3689,cauchemar,nm,masculine,"nightmare, bad dream",toute cette affaire est un vrai cauchemar,this whole affair is a real nightmare,koʃmaʀ
3690,pénible,adj(f),,"hard, difficult, painful, tiresome",ton incompétence devient extrêmement pénible,your incompetence is becoming extremely bothersome,penibl
3691,venue,nf,feminine,coming,une grande nouveauté récente est la venue des nouveaux dépanneurs,a big recent trend is the arrival of new convenience stores,v(ə)ny
3692,ballon,nm,masculine,ball,l’usage de tout autre ballon est strictement interdit,use of any other ball is strictly forbidden,balɔ͂
3693,abstenir,v,,"to abstain, refrain",vous feriez mieux de vous abstenir,you would do better to abstain,apstəniʀ
3694,affrontement,nm,masculine,"clash, confrontation",il y a eu des affrontements dans les rues,there were confrontations in the streets,afʀɔ͂tmɑ͂
3695,expulser,v,,"to expel, evict, deport, throw out",les policiers l’expulseront légalement de la propriété,the police will evict her legally from the property,ɛkspylse
3696,resserrer,v,,"to tighten up, strengthen","nous devrions nous voir plus souvent, resserrer nos relations","we should see each other more often, strengthen our relations",ʀ(ə)seʀe
3697,activement,adv,,actively,les évadés sont activement recherchés,the fugitives are being actively sought,aktivmɑ͂
3698,décor,nm,masculine,"scenery, décor, set",on a déjà changé le décor en milieu d’année,we already changed the decor mid-year,dekɔʀ
3699,compassion,nf,feminine,compassion,nous avons toujours réagi avec compassion,we have always reacted with compassion,kɔ͂pasjɔ͂
3700,couronne,nf,feminine,"crown, wreath",aucune couronne ne tient sur aucune tête,crowns don’t stay on anybody’s head,kuʀɔn
3701,descente,nf,feminine,"descent, raid, downward slope",le PCF poursuit sa descente aux enfers,the French Communist Party continues its descent into hell,desɑ͂t
3702,plancher,"nm,v",masculine,floor,il entendit la clef tomber sur le plancher,he heard the key fall onto the floor,plɑ͂ʃe
3703,trentaine,nf,feminine,about thirty,je suis contente d’arriver à la trentaine,I’m happy to have reached thirty years old,tʀɑ͂tɛn
3704,détresse,nf,feminine,distress,nous répondons à votre signal de détresse,we are responding to your distress signal,detʀɛs
3705,escalier,nm,masculine,"stairs, staircase",il montait et descendait l’escalier,he climbed up and down the stairs,ɛskalje
3706,barrage,nm,masculine,"barrier, obstruction, dam, roadblock",de nombreux barrages ont été érigés par la police,many barricades were erected by the police,baʀaʒ
3707,néant,nm,masculine,nothingness,vous réduisez ma vie à néant,you’re reducing my life to oblivion,neɑ͂
3708,support,nm,masculine,"support, stand",reste là. c’est un support moral,stay there. it’s a moral support,sypɔʀ
3709,effondrement,nm,masculine,"collapse, caving-in, falling-in, breaking-down",on va assister à l’effondrement de l’histoire de la finance,we’ll witness a collapse of financial history,efɔ͂dʀəmɑ͂
3710,encaisser,v,,"to receive, collect, cash",j’encaisserai son chèque dans la matinée,I will cash her check in the morning,ɑ͂kese
3711,déduire,v,,"to deduct, deduce, infer, figure out",j’en ai déduit de façon certaine que je l’avais perdue,I figured out for sure that I had lost it,dedɥiʀ
3712,baptiser,v,,"to name, christen, baptize",j’ai baptisé presque tous les habitants de la ville,I baptized almost everyone living in the city,batize
3713,incompatible,adj(f),,incompatible,les deux choses sont tout à fait incompati- bles,the two things are completely incompatible,ɛ͂kɔ͂patibl
3714,bienvenu,nadj,,welcome,j’aimerais vous souhaiter à tous la bienv- enue,I would like to welcome you all,bjɛ͂v(ə)ny
3715,espérance,nf,feminine,hope,je pars donc dans l’espérance de vous revoir,so I’m leaving in the hopes of seeing you again,ɛspeʀɑ͂s
3716,synthèse,nf,feminine,"summary, synthesis",il s’agit d’une synthèse fondée sur les connaissances,it’s a synthesis based on knowledge,sɛ͂tɛz
3717,conjoncture,nf,feminine,"situation, climate",la conjoncture économique n’est plus la même,the economic climate is not the same,kɔ͂ʒɔ͂ktyʀ
3718,défier,v,,"to challenge, defy, distrust",il aimait à défier le destin par fierté,he liked to defy destiny with pride,defje
3719,baie,nf,feminine,bay; berry,la baie immense de Naples s’éployait sans fin,the immense bay of Naples extended endlessly,bɛ
3720,récompense,nf,feminine,"reward, award",ton courage mérite récompense,your courage should be rewarded,ʀekɔ͂pɑ͂s
3721,étendue,nf,feminine,"area, expanse, duration, extent, range",il fut surpris de l’étendue de son savoir,he was surprised at the extent of her knowledge,etɑ͂dy
3722,tiens,"nadjpl,intj",,"ah, well","tiens, je te rends tes 5 livres","here, I’m returning your 5 books",t(ə)niʀ
3723,carnet,nm,masculine,"notebook, notepad",j’inscrivais les rendez-vous sur mon carnet,I wrote the meetings in my notebook,kaʀnɛ
3724,banc,nm,masculine,"bench, workbench, pew",il alla s’asseoir sur le banc,he went to sit on the bench,bɑ͂
3725,réformer,v,,"to re-form, reform, discharge",il était nécessaire de réformer l’ancien système d’assurance-chômage,it was necessary to reform the old unemployment insurance system,ʀefɔʀme
3726,assise,nf,feminine,"basis, foundation",l’équité est l’une des assises fondamentales,equity is one of the fundamental bases,asiz
3727,énergétique,nadj(f),feminine,"energic, vigorous",c’est l’industrie des services énergétiques,it’s the energy services industry,enɛʀʒetik
3728,reléguer,v,,to relegate,ils sont relégués aux banquettes arrières,they have been relegated to the back bench,ʀ(ə)lege
3729,architecte,"nm,nf",masc / fem,architect,c’est un architecte merveilleux,he’s a marvelous architect,aʀʃitɛkt
3730,deuxièmement,adv,,secondly,"deuxièmement, ce n’est pas ma faute","second, it’s not my fault",døzjɛmmɑ͂
3731,vedette,nf,feminine,"star, patrol boat","des tas de vedettes viennent ici, vous savez","lots of movie stars come here, you know",vədɛt
3732,intervenant,nadj,masculine,"contributor, intervener",j’ai été un intervenant de notre système de justice,I was an intervener in our justice system,"ɛ͂tɛʀvənɑ͂, ɑ͂t"
3733,séminaire,nm,masculine,"seminar, seminary",je vais vous dire. ces séminaires m’excitent à mort,I’ll tell you. these seminars bore me to death,seminɛʀ
3734,contrer,v,,to counter,"heureusement, je sais comment contrer ça","happily, I know how to counter this",kɔ͂tʀe
3735,nerveux,nadj(pl),,"nervous, irritable",les tests me rendent nerveux,tests make me nervous,"nɛʀvø, -øz"
3736,assaut,nm,masculine,"assault, attack, bout",vous mènerez la 1ère vague d’assaut,you will lead the first wave of attack,aso
3737,couteau,nm,masculine,knife,pourquoi t’achètes des couteaux?,why are you buying knives?,kuto
3738,arbitraire,nadj(f),,arbitrary,la police se livre à des activités arbitraires,the police are prone to arbitrary activities,aʀbitʀɛʀ
3739,vraisemblablement,adv,,most probably,les prix resteront vraisemblablement stables,the prices will likely remain stable,vʀɛsɑ͂blabləmɑ͂
3740,propagation,nf,feminine,"propagation, spreading",vous vous acheminez vers une propagation de votre théorie?,you’re making progress towards spreading your theory?,pʀɔpagasjɔ͂
3741,masculin,nadj,masculine,"male, masculine",je n’entendis que des voix masculines,all I heard was masculine voices,maskylɛ͂
3742,imiter,v,,to imitate,j’imitais les gestes de mes voisins,I imitated the gestures of my neghbors,imite
3743,embaucher,v,,to hire,"en onze mois, il a embauché sept personnes",in eleven months he hired seven people,ɑ͂boʃe
3744,primordial,adj,,"primordial, basic, vital, primary",la citoyenneté revêt une importance primordiale,citizenship assumes primary importance,"pʀimɔʀdjal, jo"
3745,arbitre,"nm,nf",masc / fem,"referee, arbitrer, arbitrator",c’est un bon arbitre. il arbitre bien,he’s a good arbitrator. he judges well,aʀbitʀ
3746,manteau,nm,masculine,"coat, overcoat",j’aurais dû enlever mon manteau et le jeter par la fenêtre,I should have removed my coat and thrown it out the window,mɑ͂to
3747,implication,nf,feminine,implication,ceci peut avoir d’énormes implications,this could have enormous implications,ɛ͂plikasjɔ͂
3748,grand-père,nm,masculine,grandfather,c’est grand-père qui me l’a fait comprendre,Grandfather’s the one who helped me understand that,gʀɑ͂pɛʀ
3749,reflet,nm,masculine,"reflection, glint, highlight",mes livres sont le reflet de mes propres expériences,my books reflect my own experiences,ʀ(ə)flɛ
3750,requête,nf,feminine,"request, petition",la requête iranienne bloque les négociations,the Iranian request has stalled negotiations,ʀəkɛt
3751,décliner,v,,"to decline, refuse, turn down",vous avez décliné notre offre,you have declined our offer,dekline
3752,rideau,nm,masculine,curtain,"«ferme les rideaux», dis-je – “","close the curtains”, I said",ʀido
3753,fermé,adj,,"shut, closed, locked",je pourrais dessiner les yeux fermés,I could draw with my eyes closed,fɛʀme
3754,manipulation,nf,feminine,"handling, manipulation",la manipulation génétique n’est pas une bonne chose,genetic manipulation isn’t a good thing,manipylasjɔ͂
3755,piquer,v,,"to sting, bite, prick, be hot; to steal",ne me piquez pas mon taxi ... passez votre chemin,don’t you take my taxi ... scram,pike
3756,assiette,nf,feminine,"plate, dish, bowl",je prendrai l’assiette de crudités,I will take the veggie plate,asjɛt
3757,gigantesque,nadj(f),,"gigantic, immense",il s’agit là d’un problème gigantesque,that’s a huge problem,ʒigɑ͂tɛsk
3758,rival,nadj,masculine,rival,ils ne peuvent pas tuer leur rival,they can’t kill their rival,"ʀival, o"
3759,refermer,v,,"to close again, shut again, close up",j’entends la porte se refermer derrière moi,I hear the door close behind me,ʀ(ə)fɛʀme
3760,écu,nm,masculine,ecu,plus de 100 millions d’écus seront gaspillés,over 100 million ecus will be wasted,eky
3761,confus,adj(pl),,"confused, embarrassed","je suis très confus, je ne sais pas pourquoi",I’m very confused – I don’t know why,"kɔ͂fy, yz"
3762,expédition,nf,feminine,"dispatch, shipping, shipment, expedition",je n’ai jamais regretté une seule expédition,I never regretted a single expedition,ɛkspedisjɔ͂
3763,reconstituer,v,,"to reconstitute, restore, reconstruct",je dois donc reconstituer des réserves,I therefore have to rebuild some reserves,ʀ(ə)kɔ͂stitɥe
3764,protégé,nadj,masculine,"protected, protégé",elle était sa protégée et devait normalement lui succéder,she was his protégée and should normally have replaced him,pʀɔteʒe
3765,chant,nm,masculine,song,nous allons prendre des cours de chant à domicile,we’re going to take singing lessons at home,ʃɑ͂
